Book,Tags
1046265,"['传说', '传说中', 'asfun', '不象话', 'ezary', '沙之书', '敢死队', '葬礼', '若干年', '一点点', '莫名其妙', '蹉跎', '过去', '补录', 'LITERATURE', '看见', '从前', '滴', '不能', '漸漸', '蝦', '圖書館', '有血有肉', '鹅', '青苹果', '游乐园', '老男人', '少年时代', 'arths', '没有人', '两生花', '稗類', '炒熟', '正常', '書店', 'Anthropology', '总是', '想象力', '且听', 'MyTop10', '需要', '万人迷', '里面', '淡淡的', '思绪万千', '赶热闹', '崇名', '鳥', 'CHUN5555', 'Stanza', '魇', 'SmallSay', '呐', 'Krten', '妖精', '乱七八糟', 'Translation', 'itt', 'é', 'で', 'も', 'り', 'な', 'い', 'allbooks', '人生哲理', '留痕', '了解', '以前', '很久以前', '禅', '购买', '現在', '披头士', '谶', '2010.08', 'iPodTouch', 'espiritu', '閱', '非主流', '好多遍', 'ノ', 'ル', 'ウ', 'ェ', 'ー', 'の', '纸质', '缠绵', 'doulie', 'MI', 'romantic', '图书馆', '下去', '活下去', '这才', '现实主义', 'injune', '最喜欢', '上海译文出版社', '這個', '非中文', '没有', '逼出来', '1980s', '鷠', '需', '不少', '不多不少', '觉得', '最好', 'Fiction', 'SOSO', 'Norwegian', '逼', 'Yer', '12345', '已藏', '垮掉', '一代', '上海', '里', '没啥', '意思', '远足', '曾经', '雕刻', '06read', '艰难', 'u3000', '東亞', '生与死', '林少华', '题材', 'Kalee', '现代', '没', '营养', 'TYPE', '翻譯', '説', '青春', '流离', 'Haruki', 'Murakami', '父母', '12', '寒冷', '当代文学', '挪威', '依靠', 'bOOk', '關於', '称为', 'ChineseVersion', '夏雨', '垃圾', '通俗小说', '绿子', 'AUTHOR', '安放', '不知所措', '认真', '自我', '日本國', '类书籍', '半', '名家', '老陈', '虚伪', '对书', '封面', '时间', '春村', '亚洲', '小说书', '之前', '风筝', '有味', '傷感', '如花', 'lOveR', '是否', '记得', '城市', '纯', '幽居', '会', '更', '困觉', '大二', '伯爵', '奇色', '创痛', '继续', '迷惘', '中生', '性启蒙', '黄狠', '右手', '寂寞', 'Japanese', '2009', '方式', '抑郁', '玩笑', '嗜好', '旧日', '看看', '久远', '年读', '☻', '六月', '身体', '更改', '实施', '村上春树']"
1084336,"['每天', '豆蔻年华', 'asfun', '非我族类', '薄荷', '偶尔', '随波逐流', 'Foxtrot', '五颗星', '心治之书', '没', '名声在外', 'ezary', 'intersting', '一辈子', 'db250', 'Favourite', '大智若愚', '难描募', '適宜', '80', '轉', '总是', '吸引', '青苹果', '雨亭', '樂園', 'lePrince', '我愛的', '2010.04', '独自', 'AntoineDeSaintExup', '名不副实', '没有', 'SaintDeExupery', '最好', 'iSi', '赤子之心', 'Exup', '日积月累', '相信', '不属于', '溫軟', 'touching', '认为', 'classics', '且听', '带我去', '叶沙', '法兰西', '精神家园', '以外', '万人迷', '驯养', '属于', '属于自己', 'wonderful', '給', '马振聘', '陪', 'provoking', '五个', 'suki', 'Dream', '囡囡', '治愈系', 'Krten', '對', 'francaise', '牛', '未归类', 'の', '人民文学出版社', '欲购', '从前', '曾经', '在手', 'FairyTale', '髓', '以前', '很久以前', '开了花', 'bb', '重要', '最重要', '看不见', '寫', 'espiritu', '青少年', '身心灵', 'id', '其实', '小时候', '立', '东东', '人生哲学', '起床', 'outstanding', '沙漠', 'itt', '大大', '大大的', '圖畫書', '看世界', '图书馆', '童话故事', '过去', 'injune', '忢', '浅草', '1940s', '立志', '潸然泪下', '插图', '鹅', 'Fiction', 'Cc', '夏天', '星球', '几米', '自我管理', '系列', '想象力', '称之为', '入眼', '没啥', '意思', '意义', '额', '淡淡的', '缤纷', '文哲类', '欧罗巴', 'fivestar', '岁', '认识', '女学生', '傳世', '推荐', '现代', 'Ｘ', 'TYPE', '现在', '现当代', '完整', '剖开', '蟒蛇', '玫瑰花', 'ç', '会', '圖片', '讀物', 'é', 'TOT', '意识流', '文化', '08', '流浪者', '留在', '经典作品', '倔强', '剂', '小狐狸', 'TEOTIHUACA2N', 'Miscellany', '鑿開', '之旅', '智慧', '最让人', '會', '肆', '關於', '无法', '实现', '理解', '记忆里', 'FINE', '國外', '蔡康永', 'latee', '儿童文学', '小虎爱', 'Literature', '阅读', '犬', '每一年', '一天', '震憾', '随风而逝', '笑声', 'Deutsche', '人体', '暧昧', '有点', '飞行', '墩儿', '收藏', '流出', '很少', '寻觅', '2006', '艳遇', '大师', '致敬', '奇幻', '写字', '厌倦', '读过', '光', '玩乐', '柔软', '讽刺', 'u3000', '时间', '小王子', '好看', '陈信宏', '实用型', '工具', '乐子', '重光', '看看', '忧郁', '单纯', '亲爱的', 'AUTHOR', '絮', '拥有', '苏', '佩里']"
1008145,"['责任', '023', '60591209', '伏维阁', 'asfun', 'shu', '民国时期', '觉得', 'ezary', '方鸿渐', '非技术', '集合', '杨先生', '贤伉俪', '已经', '结过婚', '蕞', '货', '儒林外史', '一次', '滴', '生之围', '复杂', '青苹果', '非常', '三重门', '一定', '原来', '现在', '越来越', '太高', '錢', '其实', '不可', '相信', '最好', '得到', '更', '怎麼', '很精采', 'classics', 'TBBIMEs250', '近', '所谓', '概', '不外', '不外借', '丢', '雨季', '不再', '音频', '冷眼', '村上春树', '精神家园', '2003.01', 'realistic', '电子书', '适应', '狡黠', '逼出来', '說', '中华儿女', '凌厉', '晟', 'é', '1999', 'の', '人民文学出版社', '带', '一席之地', '字里行间', '魅影', '漫舞', '永远都是', '現當代', '半新半旧', 'AUTHOR', 'espiritu', '没有', '比得过', 'ToBuy', '说什么', '王小波', '左岸', '心理咨询', '人生哲学', '读的书', '无法', '过去', '纸质', '徐凌', '旅行', '銭', 'mybooks', '校', '图书馆', '曾经', '现实主义', 'injune', '难忘记', '君', '1940s', '牛', 'contemporary', '看看', '当真', '无出其右', '庆幸', 'Noble', '不了', '新世界', 'Fiction', '豁达', '臭虫', '人民', '稗类', '处处', '江湖险恶', 'just', '01read', 'modernity', '很多', 'fivestar', '鍾', '心目中', '百读不厌', '東亞', 'style', '认为', '課堂', '傳世', '五花八门', '历史背景', 'TYPE', '玫瑰花', '绛', '书堆', '牢笼', 'novels', '黄仁宇', '意思', '有意思', '贰', '日', '毕', '没', '资格', '评价', 'Life', '喜欢', '陈道明', '思索', '华文', 'tranquillizer', '有点', '老', '讲故事', 'u3000', '值得', '先生', '迷宫', '路', '不会', '失望', '个人', '岁', 'FINE', '叔', '锺', '故人', '帅气', '进去', 'DA', '传播', 'Literature', '現代文學', '杂乱', '稀饭', '中长篇', '踌躇', '不一', '大不一样', '深奥', '已购', '之前', '黑色幽默', '知识分子', '战争', '拾', '学期末', '很久以前', '精妙', '錢鍾書', '圖書館', '钱钟书', '艳遇', '致敬', '次', '亲爱的', '老头子', 'Kalee', '经典小说', '玩乐', '2009', '中俗', '闲暇', '说实话', '口味', '管锥编', '现代', '嗜好', '总是', '要结', '久远', '才子佳人', '以前', '进进出出', '推荐书', '一段', '回忆']"
1017143,"['高中時代', '摯愛', '時間', '60591209', 'asfun', '偶尔', '随波逐流', '最喜欢', 'ForeignLiterature', '袁筱一', '重要', 'ezary', '沙之书', '眼泪', '过去', 'Aappe', '若干年', '说什么', '随风而逝', '心平气和', '每次', '09SummerBreak', '^', 'Kimo', '托马斯', '拧巴', '2009read', 'aH', '恶魔般', '一读再读', '4star', '荡涤', '青苹果', '如菊', '经得起', '老男人', '何止', '通俗读物', '2010.04', '女画家', '读书笔记', '基督教', '最好', '进行', '狮子山', '烟火', 'TBBIMEs250', '哭死了', '复杂', '应该', '才队', '行为', '瞎折腾', '精神家园', '以外', '昆', '刻骨铭心', '后现代主义', '巧合', 'contemporary', 'Iloveyou', '思想史', '思绪万千', '男女之间', 'CHUN5555', '些许', 'suki', 'Angelia2041', '到头', '到头来', '看一遍', '再评', '不同', '需要', '布拉格', '閱', '晟', 'itt', 'é', '一席之地', 'allbooks', 'Bilblioth', 'è', 'muss', '抱拥', '以前', '在手', '意思', '共产主义', '魅影', '漫舞', '不要', '应', '平衡点', 'espiritu', '装叉', '心理咨询', '波希米亚', '穴', '人生哲学', '凌空', '朝圣', '完成', '未完成', '当代文学', '选择', '校', '会', 'Hikawa', '⊕', 'injune', '许钧', '上海译文出版社', '诺贝尔文学奖', 'Czekh', '两极', '8.5', '庆幸', 'Fiction', '会主', '01', '费劲', '這樣', '不下', '下去', '看不下去', 'say', '不了', '过程', '幾遍', '曾经', '颠沛流离', '图书馆', '孰轻孰重', '羞耻', 'III', 'Geometry', '戏谑', 'Alopor', '需', '1982', '没', 'I5', '有点', '五花八门', '以后', '没有', '已经', '摆', '非常', 'u3000', '欧罗巴', '青年时代', '叙述', '米蘭', 'zz', 'fav', '经典作品', '可笑', '終於', '鑿開', '決口', 'Kuntera', '看看', 'ChineseVersion', 'milankundera', '爱着', '説', '類', 'FINE', '..', '读的书', '忠贞', '勁', 'lightness', '认真', '比较', '这是', '轻得', 'latee', '捷克语', '流亡', '豆列', '不太懂', 'own', '已购', '之前', '不可', '收藏', '小乳是', '春藥', '黑色幽默', '最近', '存在', '糊里糊涂', '镜子', '真的', '忧伤', '不能', '承受', '之轻', '卡尔维诺', '致敬', '混乱', '空间', '挺', '时光', '迷惘', '最后', '读过', '之后', '昆德拉', '生命', '玩乐', '金陵', '02front', '布面', '其实', 'ideality', '一年级', '改编', '暖', '好看', '國家', '2008', '老外', '冲突', '旧日', '所读', '陌生', '来信', '久远', '寓意', '陷阱', '欧洲', '现代']"
1040771,"['一百分', '杀', 'asfun', 'DanBrown', '食指', '卻', 'LeonardoDaVinci', 'suspense', 'ezary', '理工科', 'intersting', '集合', 'Detective', '蔡康永', '若干年', 'db250', '月黑风高', '知道', '茶余饭后', '电子书', '以前', '成为', '无法', '泼', '4star', '青苹果', '颠覆', 'aruni', '谴有涯', '过去', 'hululu13', '书架上', '当时', '部分', '大部分', '没', '2005.11', '手不释卷', '争斗', '泛', '缺', '黄金分割', '之后', '卢浮宫', '进才', '帮', '村上春树', '以外', '96', '看来', '居然', '类别', '多多', '多多少少', '长见识', '推悬恐', '精神支柱', '震撼', '流浪记', '意大利', '7535746098', '7.5', 'Krten', '付评', '繁體', '周', '元晓', 'Translation', 'itt', 'é', '可有可无', '朱振武', '牛', '籍', 'davanci', '哆', 'thriller', '碎影', '留痕', '犯罪', 'azure', '购买', '上海', '上海人民出版社', '鼎力', '撢', '七嘴八舌', '蛮', '廢棄', '筆墨', 'MaryMagdalene', 'whodunit', '曾经', 'no', '原来', '菠菜', '井俊二', '基督教', '财', '其实', '名过其实', '已购', '很多', '书店', 'Noble', '仅仅', '无话可说', '舒适', '05', '翻譯', '猜', '娱乐型', 'livre', '峋', '山隐', '似真', '暢銷', '文哲类', '新概念', '收藏', '爷爷', '波塞冬', '撒', '很红', '现代', 'Reading', '平庸', '花花', '现在', '説', 'Kalee', '邏輯', '與', '外', '偶见', '聆听', '一系列', 'novels', 'u3000', 'fav', '达芬奇', '神秘', '小时候', '速食', '个人', '个人感觉', '意思', '有意思', '肆', '智慧', '奥威尔', '欧美', '真是', '非常', '科学家', '认真', '起来', '电脑前', '畅销', 'Literature', '着迷', '中学', 'RENE', '杂七杂八', '密码学', '厕所', '阴谋论', '之前', 'Venci', '据说', '丹', '受益', '不眨地', '情节', '女性主义', '写字', '火', '通俗文学', '布朗', '非中文', '人人', '会', '老', '最好', '2009', '买了', '时间', '旅行', '闲暇', '好看', '消遣', '旧日', '所读', '乐子', '看看', '快速', '一口气', '读完']"
1016300,"['影视作品', '更', '是不是', '广告人', 'shu', '一时', 'Ｃ', '切', '屎', '多多', 'xx', 'shang', '新概念', '之前', '蛋疼', '最爱四', '蕞', '货', '泼', '原来', '现在', '林岚', '物是人非', '总是', '青苹果', '肆无忌惮', '郭小四', '新生代', '不能', '恨不能', '打六星', 'Hikawa', '⊕', '过渡阶段', '不堪回首', 'BUY', '顾小北', 'PRC', '葱茏', 'gjm', '一起', 'Touching', '骚', 'Memories', '乱翻', '图书馆', '年少无知', '不得不', '赶热闹', '鳥', 'CHUN5555', 'teenager', 'Ｌ', 'Ο', 'ё', '為', '所謂', '所谓', '测试', '同步率', '悬疑', '其实', '噢', '无名指', '中华儿女', '庄羽', '巨大', '可能', 'itt', 'é', 'pop', '听雨歌', '楼上', 'JUN', '魅影', '漫舞', '200408', '不少', '似水流年', '妈', '一個', 'espiritu', '酵母', '多愁善感', 'YOUNG', '遗失', 'I5LAND', '思考', '小火柴', '輕', '围绕', '以前', 'injune', '没有', '女', '大起大落', '去死吧', '很多', '片儿', '.......', '绝顶', '國内', '説', '阿窥', '大烂书', '抄袭', '典范', '逼', 'Yer', 'CN', '小四儿', 'readings', '四姑娘', 'livre', '当时', '华艺', '这是', '後', '東亞', '系列', '电子版', '买了', '夢裡', '知多少', '伤痕', '谢谢你们', '阅读', '520', 'IOwnIt', '没', '营养', 'sick', 'Childhood', '畅销', '过眼云烟', '现当代', '亲娘', '明媚', '看看', '值得', '垃圾', '通俗小说', '大陸', '脑残', '束之高阁', '花朵', '吢', '风风火火', '隨便', 'Literature', 'zeizeiai', '总会', '杂七杂八', '爱情故事', '春风', '出版社', '整个', '宇宙', 'lOveR', '梦里', '多尿', '昿', '上海', '八十年代', '流出', 'Kalee', '快餐', '文化', '很少', '疼痛', '柯艾', '80', 'hansey', '同学', '逝去', '继续', '快', '曾经', '迷惘', 'u3000BOOK', '读过', '校园文学', 'GJM', '寂寞', '献给', '封面', '闲暇', '郭', '精明', '过去', '哗啦', '哗啦啦', '消遣', '现代', '乐子', '碎裂', '郭敬明', '都市', '现实', '唯美', '11', '告别', '黑暗']"
1529893,"['第二遍', 'practice', '凝神', '飘', '平行线', 'lotus', '一盏灯', '奇女子', '现在', 'cccccccccc', '白玛岗', '棠', '心平气和', '看见', '新中国', '水仙花', '山海經', '緯', '意思', '无所谓', '折', '最好', '新生代', '帶', '愛與夢', 'hululu13', 'BUY', 'bobby', '稗類', '仢', '枕边书', '缺陷', '以前', '名作家', '恰到好处', 'me', '与时俱进', '一定', '张爱玲', '读的书', '实体书', '想象力', '图书馆', '绽放', '比较', '彼岸花', '叶两', '其实', '不知不觉', '部分', '大部分', '毒害', '两三天', '蛋疼', '江江', '内心世界', 'suki', '异景', '颜如玉', '单纯', '最喜欢', '所谓', '沉溺于', '觉得', '中华儿女', '建筑', 'itt', 'é', '一片', '清云落', '焦距', '海藻', '准备', '很多', 'lianhua', '转让', '畅销', '尘土', '藏传佛教', '糜烂', 'memory', '之前', 'babe', '边缘', '薇', '救赎', '小說吧', '青少年', '隨筆', 'id', '穴', '人生哲学', '豆蔻年华', '空旷', '碧落', '廢棄', '筆墨', '密林', '光', 'BOOK', '大三', '200608', 'u3000', '淡定', '反观', '年少无知', 'injune', '150cm', '没有', '社会科学', '知道', 'starlet', '8.5', '.......', '曾经', '啊啊啊', 'Fiction', '01', '説', '令人作呕', '舒适', '各式', 'Yer', '勵婕', '存在', '善生', '近', 'ANNIBABE', '豆荚', 'livre', '路漫漫', '浏览', 'OnTheRoad', '作家出版社', '约', '会', '不会', '永远', '纯粹', '凑热闹', '東亞', 'annie', 'kelly', '18', '岁', '翻翻', '买了', '我爱你', 'AB', 'anything', '寶貝', 'NLB', '小故事', '殇', '没', '不能', '最终', '归于', '虚无', '当代文学', 'annbaby', '范儿', '追求', '關於', '迷迭香', '随便', '垃圾', '热爱生活', '属于', '失忆', 'psycho', '硕士', '愛戀', '起来', '隐忍', 'Literature', '个人', '阶段性', '杂乱', '绝对', '抽筋', '性灵', '不时', '摆渡', '流出', '自由主义', '书名', '期待', '生命', '右手', '方式', '西藏', '剔透', '寂寞', '向上', '中俗', '时间', '旅行', '一次', '文字', '嗜好', '旋离', '消遣', '现代', '看看', '亲爱的', '安妮', '宝贝', '矫情', '都市', '讀的書', '80']"
1082154,"['一言难尽', '综合症', '五颗星', 'ezary', 'shang', '无法', '乿', '说明', '茶余饭后', 'Mycenaean', '从前', 'huozhe', '卖血记', '承', '不叔', '问题', 'aruni', '黑', '111', '架', '日积月累', '知道', '似曾相识', '之感', '颓废', '行为', '认为', '上课', '不同', '杯具', '思绪万千', '赶热闹', '辛酸', '最喜欢', '五个', '大跃进', '骨骨', 'Krten', 'gh', '坚持', '个人', 'itt', 'é', '重要', '以前', '髓', '尘土', '继续', '福贵', '酣畅淋漓', '购买', '非常', '没', '做生意', '略懂', '图书馆', '曾经', '比起', '很多', '无病呻吟', '所谓', '震撼力', '更', 'injune', '逼出来', 'contemporary', '一次', '第一次', 'Fiction', '咱是', 'padding', '相信', '稗类', '公司', '讽刺', '中国式', '颠沛流离', 'fivestar', '一辈子', '1998', '東亞', '新华书店', '电子版', '买了', '影响', '真正', '遗失', '愛', '圖書館', '不可', '不可思议', '坚韧', '难忘', '青年时代', 'novels', '当代文学', '朕', '当时', '南方人', '使用', '北方方言', '真是', '肆', '思考', '英雄', '垃圾', '国内', '华文', '17', 'FINE', '没有', '认真', '学史', '小虎爱', 'DA', 'Literature', '杂乱', '媚态', '之前', '余華', 'u3000', '有点', '悲伤', '尤演', '笑', '如花', '眼睛', '丢', '痛苦', '读的书', '指尖', '流出', '直面', '自由主义', '意思', '在线', '亲情', '看过', '晶藏', '犀利', '歇斯底里', 'Kalee', '经典小说', '靠山', '山会', '人人', '会', '老', '最好', '葛', '2009', '中俗', 'ideality', '嗜好', '岁', '安妮', '宝贝', '存在', '虚无', '现代', '推荐书', '活', 'き', 'る', '往事']"
1026425,"['伏维阁', 'asfun', 'tow', 'shu', '库存', '图书馆', 'shang', '39', '很早以前', '非技术', '説', '无忧无虑', '接触', '蕞', '电子书', '新中国', '泼', 'FABULA', '青苹果', 'Hikawa', '⊕', '片', 'TMD', '不堪回首', '小朋友', '書店', '少年时代', '张爱玲', '七年級', '旧时光', '标志性', '任务', '蔡智恒', '半', 'Iloveyou', '赞', '1990s', '赶热闹', 'CHUN5555', '新概念', '叔', '蘿莉過', '所谓', '蔡', '18', '杂', '当时', 'MINE', 'é', '值得', '三重門', '哆', '髓', '都市', '魅影', '漫舞', '教育体制', '购买', '乱读', 'Alice', '小說吧', '正常', '遗失', '纯洁', '候餐', 'kindle', '曾经', '没太大', '调侃', '艾玛', '上网', '围绕', '随便', '女', '物语', '故事', 'two', '觉得', '应该', '看看', 'Fiction', '01', 'Mainland', '校園', 'CN', '垮掉', 'Z2', '文哲类', '作家出版社', '逻辑', 'fivestar', '戏', '80', '後', '争议', '東亞', '喜欢', '叛逆', '比较', '平庸', '现代', '林雨翔', '520', '寒式', '当代文学', 'Life', 'satire', '八十年代', '过眼云烟', '理解', '内地', '不配', '称为', '垃圾', '国内', '穿越', '速食', 'Literature', '散场', 'zeizeiai', '逝去', '杂七杂八', 'buch', '已购', '年轻', '过去', '看着', '很好', '记忆', '指尖', '流出', '黑色幽默', '伯爵', '有趣', '绝对', '迷惘', '一部', '豆瓣', '以前', '右手', '寂寞', '献给', '靠山', '山会', '会', '老', '最好', '2009', '自叹不如', '中俗', 'overrated', '哗啦', '哗啦啦', '消遣', '久远', '人人', 'loli', '才子佳人', '韩寒', '失去', '判断']"
1066462,"['伏维阁', 'asfun', '80', '总是', 'Foxtrot', '集合', '若干年', '朱德庸', '阅', '以前', '泼', '不叔', '9999', 'BUY', '^', 'u3000', '村上春树', '96', '溶溶', 'JIMMY', '岁', '据说', '畅销', '赶热闹', '放松', '鳥', '情感小说', '现在', 'Z3', 'suki', '左右', '祸国殃民', '擦肩而过', '繁體', '很多', '曾经', 'Sunshine', '插画家', 'fairytale', '欲购', '沒收', '藝術', '苏', '三联书店', 'BOOK', '09', '旧', '未寫', '金城武', '圖畫書', '永不', '中国台湾', '愛', '有一套', '24', '地下铁', 'injune', '左和右', '儲物盒', '暖心', '行走', '连环画', '8.5', '两旁', '泛泛', '隔膜', '一往而深', '阿窥', '已藏', '很久前', 'PictureBook', '杂项', '森林', 'Hikawa', '⊕', 'drawings', '现代文学', '写真', '明理', '退一步', '柜子', '实体书', '诱惑', '圖片', '讀物', '偶遇', '无奈', '最好', '形容词', '反正', '已经', 'zz', '唯爱', '港台', '國内', '漫畫', 'favorite', '小时候', '思索', '过眼云烟', '现代', '看看', '絵', '束之高阁', 'Candyman', '梁咏琪', 'jj', 'Illustration', '方向', '我爱你', '味道', '向右走', '散场', 'zeizeiai', '中國', '图文集', '寂地', '随风而逝', '笑声', '誰', '會', '憑', '非常', '意义', '爱情故事', '浮世繪', 'cartoon', '之前', '推荐', '床头', '城市', 'fantasy', '青春', '大一', '200308', '特别', '回忆', 'phi', '寻觅', '有趣', '缘分', '几米', '读过', '淡淡的', '艺术设计', '抑郁', '好看', '过去', '消遣', '类书籍']"
