user_map,book_map,Rate,pred
1,595,0,0.1319074345811081
1,398,0,0.12904903220688446
1,30,0,0.17645854683175974
1,351,0,0.14868364437444576
3,518,5,3.136209041907982
3,1023,3,3.5368943035845204
3,254,3,2.5668443857582464
3,1033,5,4.03995828613289
5,704,5,3.7426472403858435
5,469,3,3.842423437169557
5,448,5,4.3688840117873875
6,1116,5,4.120418143764044
6,859,3,3.305965606611105
7,477,4,3.155320300388941
7,312,3,4.312627268785264
7,346,0,2.7480104815005446
7,920,4,4.528536212724177
8,448,0,2.5811540794301635
8,51,5,3.6080746610230863
8,754,5,1.5806783218772327
8,425,0,2.8855825217342557
9,258,4,1.5584625598552486
9,263,0,0.975059201999405
11,350,4,1.9698880888644343
11,85,0,1.9381102964231272
13,1058,2,4.534091324728302
13,290,4,4.951236083852081
13,1047,5,4.697902026085033
17,1193,0,3.4746755205207998
17,303,3,3.3146636927392095
18,226,5,3.2309102777643988
18,274,5,4.533354578965691
19,402,5,4.325312328769572
19,463,4,5.034332429207571
19,114,4,4.329470574632578
20,1009,4,4.465335666980072
20,680,4,3.312672144433371
23,755,4,4.626343643512023
23,442,4,4.143966039316936
24,372,0,0.4399366140197005
24,611,0,0.7403115080098176
29,244,3,4.015678314635024
29,796,3,4.877585932599319
29,266,3,4.740609221224922
30,499,5,4.4001448090981565
30,1062,5,5.738022343808825
31,242,4,4.271515844215294
31,36,3,4.004500862518748
33,94,5,3.6813331298264025
33,129,4,4.584441666412544
33,501,0,2.2770757304143494
34,1093,5,4.919454901882464
34,1175,5,3.3440641867195144
35,303,2,2.401040932979156
35,771,3,3.14111946063316
35,1159,3,1.5765640160920096
35,258,3,1.894484071573654
35,306,4,3.3677677461923397
37,322,4,3.8165809430356843
37,409,3,4.278197211135986
37,918,4,4.191338735275285
38,336,0,0.341235849860821
38,980,3,0.3584730576663202
39,517,4,4.150326313642159
39,227,4,2.578735021247845
43,143,5,3.4922028183619123
43,51,5,3.883179533137926
49,364,3,3.376967755113048
49,758,4,2.596399248734931
51,149,3,1.9083436244563805
51,90,2,1.3440381086845767
52,775,4,3.207177638088336
52,1050,5,2.6444249389910413
52,877,0,4.0833584517347
53,742,0,0.0
53,143,0,0.0
58,1112,4,5.042633152869055
58,182,2,3.191994163658248
59,862,2,3.269357713693356
59,531,3,3.54391483886435
60,368,3,2.6923686017232837
60,138,4,3.560909571719309
61,942,0,0.8932468540411587
61,733,0,1.599627216226683
64,197,4,4.856007894646674
64,120,4,4.681976745759502
68,732,4,3.450119284841914
68,347,0,0.9791902697080017
68,626,5,3.1297424549730706
72,436,0,-0.12030390016756554
72,667,5,0.22163633980203817
80,305,0,1.4231468417845825
80,15,0,-0.242228736043752
81,443,5,4.788989036186138
81,592,4,4.575424545020305
81,451,4,3.823042946095545
82,1109,3,2.8671304124057135
82,1071,3,3.8164828226217775
82,98,2,3.236271092089603
82,349,4,4.3371983705251225
82,867,4,3.8619343231060648
83,607,0,-0.009458598492494419
83,263,0,0.08233030448193357
85,237,3,4.01841431222145
85,142,5,3.782727145090734
89,292,5,3.3253759627876693
89,282,3,3.223122251783286
89,469,4,3.9081891302167278
89,405,4,4.45971563528257
90,312,0,0.5180730343964159
90,329,0,0.45219792338396514
90,544,0,-0.2088319384750702
90,428,0,-0.26688878481202877
90,441,0,-0.35491376154837356
90,93,0,-0.6477401483534839
91,28,5,4.549285512402513
91,82,5,3.75467001278197
92,158,0,-0.09921253649395766
92,232,0,0.041018135885813406
93,39,0,1.9547271478450576
93,269,0,1.3103495104884604
93,1100,4,1.3880898253830591
93,68,0,0.22443814461985734
93,1093,3,2.48179018924444
95,906,5,2.299557909604196
95,101,0,2.295363089001602
95,538,0,1.8223188051246317
97,641,4,3.4572368180090725
97,1194,4,3.9516426961912137
98,1098,0,0.8314389179421603
98,1111,0,2.8029405108124097
99,256,0,3.7111007685780377
99,90,3,3.201352922664883
99,1136,4,4.27732105986332
99,622,5,4.641208990808384
99,599,5,4.557524752684781
99,528,4,4.942032436300693
100,449,4,3.652543874165401
100,57,5,3.9358827589824132
101,1194,4,5.0577336512353614
101,989,4,0.5100038282819283
101,323,0,1.8454699192960686
101,1189,5,2.61939028948942
104,280,5,4.582079914601179
104,346,4,3.6695290263758236
109,291,4,3.804959556943516
109,1191,2,3.2642146582961953
110,926,1,2.1855419534324163
110,989,5,3.551131559857813
110,1115,2,2.9464227861011483
110,1111,4,4.25287260672298
110,633,3,3.8940313583190203
112,338,0,2.8962809074691
112,441,0,2.7553456598907635
113,645,4,3.219754907188376
113,220,5,3.605058714998032
113,399,4,3.435098376054433
116,102,0,0.4140324960234154
116,739,0,1.3624825674592436
116,945,4,3.0507693948454784
116,529,0,0.525810705044934
116,926,0,0.0670765345490647
117,1179,3,1.333827307033865
117,121,0,0.8414851985737257
117,746,3,1.7493024595426558
118,836,3,4.319113615427378
118,758,4,3.7955837161406807
125,1041,3,2.0653252194386438
125,660,3,3.7724516115116726
132,709,0,1.227191363054561
132,985,0,0.6102399720799181
133,943,0,0.6212781753258678
133,384,0,0.7780434615680566
133,87,0,1.8607932421195006
133,519,3,2.7793000443391955
134,568,0,0.662685336013674
134,395,0,0.7847441297073229
134,895,0,0.23496337669326095
134,394,0,0.822033931035556
135,561,4,0.017091659084784494
135,384,4,2.072167994651924
137,29,4,4.8331839832965
137,148,4,3.582384416906209
139,176,3,3.519853629754981
139,378,3,3.7418590091377837
141,411,0,0.6600862105460987
141,296,0,0.8035189913045003
141,622,0,1.2825207691670748
143,127,2,3.645478625085864
143,288,4,4.649780853089721
148,526,5,4.81261917717478
148,1134,5,5.165131681750654
149,404,5,1.3811393320354608
149,1131,5,3.2634688179026496
149,549,5,3.1131207139577253
149,94,0,3.8436143688501874
151,290,0,1.9809553799075008
151,505,0,2.0670905186034654
151,33,5,3.416988106548318
151,88,0,2.168669905475051
153,154,4,3.7775801849355717
153,177,5,3.3629171631339743
154,333,0,0.15898908810823154
154,986,5,2.3452101591545462
154,831,4,0.4525203208725498
154,111,0,0.5976314740334827
155,499,3,3.8137262446215257
155,178,2,1.6057223830904408
156,543,5,4.044669958620728
156,317,4,3.8555805313034663
156,735,4,4.259781702376517
156,438,5,3.4790720884118835
156,146,4,3.947269568729844
156,1110,4,3.848834850522495
162,560,4,2.397181062184753
162,576,0,1.2738343025878471
162,825,5,2.829763405925215
163,106,4,2.3904224884081877
163,255,4,4.108794773447182
163,58,4,4.404676096474244
163,338,4,3.5609299739514277
165,551,0,0.07970651504232595
165,896,0,0.9427399032085226
165,370,0,1.1717513138340505
165,352,0,-0.014372566762733907
165,803,0,1.1009291619089068
167,904,1,0.84666616177535
167,1161,4,1.6101847446321518
168,441,3,4.1451259211961755
168,177,4,3.248423525401192
168,1075,4,2.6167569083265443
170,778,0,2.5292233245822366
170,655,0,3.6143710848884467
171,741,0,0.05051987023035304
171,230,0,-0.1422686426045779
172,305,0,3.5478052206639457
172,270,3,2.185813611184717
176,1095,4,3.314871365248894
176,204,3,3.296629134731313
179,851,0,0.41558642400129464
179,852,0,0.14173862443422686
180,55,0,0.0669482423653372
180,630,0,-0.014469913189275152
182,1024,4,2.046622918645964
182,905,2,2.130735455501909
182,988,4,2.093791414399728
185,455,4,1.5708259427942552
185,1164,4,2.719029764058336
185,104,0,1.9818528329159426
185,543,4,3.084841206263965
185,120,0,1.9115933900498154
189,426,3,3.849577789429273
189,191,3,4.092576682544856
191,542,0,0.47078412560058563
191,471,0,1.672434135056106
191,414,1,-0.23981362726798275
192,688,4,3.0256720050201875
192,374,3,2.134020982085185
192,591,0,0.4870627603805464
192,470,3,1.67518142640412
192,182,0,1.283994258855242
192,833,0,2.0514248829648967
194,1010,3,3.6637889338140646
194,944,3,3.380992572191192
194,1109,3,2.8784546524421133
194,1060,3,2.3506389011191726
194,353,4,3.6804311855992187
197,233,3,2.5334844829888885
197,59,2,1.9819337079464971
197,235,4,3.517738140446568
203,116,5,3.6706034724465537
203,1078,4,4.691860769960446
204,137,3,4.578570194707873
204,151,4,3.332658461716926
204,1038,4,4.956218376354712
205,681,4,4.239759452929279
205,67,3,4.182253067295075
205,210,3,3.385508522502967
206,1168,5,2.2710650764873153
206,381,0,0.5115054009441666
207,561,0,2.0384408211967306
207,322,5,3.292462294641277
209,1087,4,2.2583913874228734
209,916,0,3.5157486231354107
215,295,3,3.2082745612210415
215,419,3,2.7731616953613436
219,1173,3,3.5293988724074516
219,489,0,0.39453348794255205
220,594,4,2.7260196402142594
220,581,4,3.6980586048306248
220,1168,4,2.6395216399809227
220,1152,4,4.29945559719356
220,983,0,2.777049702620558
221,608,4,1.227776726442046
221,578,4,0.9122499266331472
222,1052,4,4.803228026146305
222,580,3,3.501095100305436
